id,date,week,timeSlot,holiday,rrr,windSpeed,Vt6,Vt5,Vt4,Vt3,Vt2,Vt1,Vt
56,1,2,56,0,0,7.2,52.8,38.4,38.47,38.53,43.27,48,42.75
57,1,2,57,0,0,7.2,38.4,38.47,38.53,43.27,48,42.75,40.13
58,1,2,58,0,0,7.2,38.47,38.53,43.27,48,42.75,40.13,37.5
59,1,2,59,0,0,7.2,38.53,43.27,48,42.75,40.13,37.5,37.55
60,1,2,60,0,0,7.2,43.27,48,42.75,40.13,37.5,37.55,37.58
61,1,2,61,0,0,7.2,48,42.75,40.13,37.5,37.55,37.58,37.59
62,1,2,62,0,0,7.2,42.75,40.13,37.5,37.55,37.58,37.59,37.59
63,1,2,63,0,0,7.2,40.13,37.5,37.55,37.58,37.59,37.59,37.6
64,1,2,64,0,0,7.2,37.5,37.55,37.58,37.59,37.59,37.6,41.14
65,1,2,65,0,0,7.2,37.55,37.58,37.59,37.59,37.6,41.14,44.67
66,1,2,66,0,0,7.2,37.58,37.59,37.59,37.6,41.14,44.67,44
67,1,2,67,0,0,7.2,37.59,37.59,37.6,41.14,44.67,44,51.1
68,1,2,68,0,0,7.2,37.59,37.6,41.14,44.67,44,51.1,54.64
69,1,2,69,0,0,7.2,37.6,41.14,44.67,44,51.1,54.64,56.42
70,1,2,70,0,0,7.2,41.14,44.67,44,51.1,54.64,56.42,57.3
71,1,2,71,0,0,7.2,44.67,44,51.1,54.64,56.42,57.3,58.19
72,1,2,72,0,0,7.2,44,51.1,54.64,56.42,57.3,58.19,50.89
73,1,2,73,0,0,3.6,51.1,54.64,56.42,57.3,58.19,50.89,43.6
74,1,2,74,0,0,3.6,54.64,56.42,57.3,58.19,50.89,43.6,41.6
75,1,2,75,0,0,3.6,56.42,57.3,58.19,50.89,43.6,41.6,40.59
76,1,2,76,0,0,3.6,57.3,58.19,50.89,43.6,41.6,40.59,39.59
77,1,2,77,0,0,3.6,58.19,50.89,43.6,41.6,40.59,39.59,39.2
78,1,2,78,0,0,3.6,50.89,43.6,41.6,40.59,39.59,39.2,40.6
79,1,2,79,0,0,3.6,43.6,41.6,40.59,39.59,39.2,40.6,42
80,1,2,80,0,0,3.6,41.6,40.59,39.59,39.2,40.6,42,45.73
81,1,2,81,0,0,3.6,40.59,39.59,39.2,40.6,42,45.73,41.4
82,1,2,82,0,0,3.6,39.59,39.2,40.6,42,45.73,41.4,36.54
83,1,2,83,0,0,3.6,39.2,40.6,42,45.73,41.4,36.54,31.68
84,1,2,84,0,0,3.6,40.6,42,45.73,41.4,36.54,31.68,47.99
85,1,2,85,0,0,3.6,42,45.73,41.4,36.54,31.68,47.99,42.75
86,1,2,86,0,0,3.6,45.73,41.4,36.54,31.68,47.99,42.75,44.18
87,1,2,87,0,0,3.6,41.4,36.54,31.68,47.99,42.75,44.18,45.6
88,1,2,88,0,0,3.6,36.54,31.68,47.99,42.75,44.18,45.6,33.5
89,1,2,89,0,0,3.6,31.68,47.99,42.75,44.18,45.6,33.5,32.49
90,1,2,90,0,0,3.6,47.99,42.75,44.18,45.6,33.5,32.49,34
91,1,2,91,0,0,3.6,42.75,44.18,45.6,33.5,32.49,34,43.9
92,1,2,92,0,0,3.6,44.18,45.6,33.5,32.49,34,43.9,22.35
93,1,2,93,0,0,3.6,45.6,33.5,32.49,34,43.9,22.35,40.52
94,1,2,94,0,0,3.6,33.5,32.49,34,43.9,22.35,40.52,46
95,1,2,95,0,0,3.6,32.49,34,43.9,22.35,40.52,46,49.8
96,1,2,96,0,0,3.6,34,43.9,22.35,40.52,46,49.8,43.72
97,1,2,97,0,0,3.6,43.9,22.35,40.52,46,49.8,43.72,38.28
98,1,2,98,0,0,3.6,22.35,40.52,46,49.8,43.72,38.28,45.57
99,1,2,99,0,0,3.6,40.52,46,49.8,43.72,38.28,45.57,52.85
100,1,2,100,0,0,3.6,46,49.8,43.72,38.28,45.57,52.85,17.87
101,1,2,101,0,0,3.6,49.8,43.72,38.28,45.57,52.85,17.87,31.77
102,1,2,102,0,0,3.6,43.72,38.28,45.57,52.85,17.87,31.77,45.22
103,1,2,103,0,0,3.6,38.28,45.57,52.85,17.87,31.77,45.22,34.76
104,1,2,104,0,0,3.6,45.57,52.85,17.87,31.77,45.22,34.76,33.27
105,1,2,105,0,0,3.6,52.85,17.87,31.77,45.22,34.76,33.27,36.3
106,1,2,106,0,0,3.6,17.87,31.77,45.22,34.76,33.27,36.3,41.48
107,1,2,107,0,0,3.6,31.77,45.22,34.76,33.27,36.3,41.48,42.63
108,1,2,108,0,0,3.6,45.22,34.76,33.27,36.3,41.48,42.63,31.48
109,1,2,109,0,0,3.6,34.76,33.27,36.3,41.48,42.63,31.48,29.68
110,1,2,110,0,0,3.6,33.27,36.3,41.48,42.63,31.48,29.68,36.96
111,1,2,111,0,0,3.6,36.3,41.48,42.63,31.48,29.68,36.96,35.76
112,1,2,112,0,0,3.6,41.48,42.63,31.48,29.68,36.96,35.76,41.96
113,1,2,113,0,0,3.6,42.63,31.48,29.68,36.96,35.76,41.96,32.63
114,1,2,114,0,0,3.6,31.48,29.68,36.96,35.76,41.96,32.63,42.63
115,1,2,115,0,0,3.6,29.68,36.96,35.76,41.96,32.63,42.63,37.33
116,1,2,116,0,0,3.6,36.96,35.76,41.96,32.63,42.63,37.33,41.94
117,1,2,117,0,0,3.6,35.76,41.96,32.63,42.63,37.33,41.94,41.25
118,1,2,118,0,0,3.6,41.96,32.63,42.63,37.33,41.94,41.25,36.32
119,1,2,119,0,0,3.6,32.63,42.63,37.33,41.94,41.25,36.32,42
120,1,2,120,0,0,3.6,42.63,37.33,41.94,41.25,36.32,42,36.24
121,1,2,121,0,0,3.6,37.33,41.94,41.25,36.32,42,36.24,35.2
122,1,2,122,0,0,3.6,41.94,41.25,36.32,42,36.24,35.2,35.25
123,1,2,123,0,0,3.6,41.25,36.32,42,36.24,35.2,35.25,37.59
124,1,2,124,0,0,3.6,36.32,42,36.24,35.2,35.25,37.59,28.18
125,1,2,125,0,0,3.6,42,36.24,35.2,35.25,37.59,28.18,37.05
126,1,2,126,0,0,3.6,36.24,35.2,35.25,37.59,28.18,37.05,32.32
127,1,2,127,0,0,3.6,35.2,35.25,37.59,28.18,37.05,32.32,37
128,1,2,128,0,0,3.6,35.25,37.59,28.18,37.05,32.32,37,40.79
129,1,2,129,0,0,3.6,37.59,28.18,37.05,32.32,37,40.79,44.46
130,1,2,130,0,0,3.6,28.18,37.05,32.32,37,40.79,44.46,37.6
131,1,2,131,0,0,3.6,37.05,32.32,37,40.79,44.46,37.6,35
132,1,2,132,0,0,3.6,32.32,37,40.79,44.46,37.6,35,33.67
133,1,2,133,0,0,3.6,37,40.79,44.46,37.6,35,33.67,31.73
134,1,2,134,0,0,3.6,40.79,44.46,37.6,35,33.67,31.73,28.04
135,1,2,135,0,0,3.6,44.46,37.6,35,33.67,31.73,28.04,30.97
136,1,2,136,0,0,3.6,37.6,35,33.67,31.73,28.04,30.97,35.2
137,1,2,137,0,0,3.6,35,33.67,31.73,28.04,30.97,35.2,33.61
138,1,2,138,0,0,3.6,33.67,31.73,28.04,30.97,35.2,33.61,36.28
139,1,2,139,0,0,3.6,31.73,28.04,30.97,35.2,33.61,36.28,40.23
140,1,2,140,0,0,3.6,28.04,30.97,35.2,33.61,36.28,40.23,27.16
141,1,2,141,0,0,3.6,30.97,35.2,33.61,36.28,40.23,27.16,40.18
142,1,2,142,0,0,3.6,35.2,33.61,36.28,40.23,27.16,40.18,35.18
143,1,2,143,0,0,3.6,33.61,36.28,40.23,27.16,40.18,35.18,39.55
144,1,2,144,0,0,3.6,36.28,40.23,27.16,40.18,35.18,39.55,24.35
145,1,2,145,0,0,3.6,40.23,27.16,40.18,35.18,39.55,24.35,29.65
146,1,2,146,0,0,3.6,27.16,40.18,35.18,39.55,24.35,29.65,44.85
147,1,2,147,0,0,3.6,40.18,35.18,39.55,24.35,29.65,44.85,47.4
148,1,2,148,0,0,3.6,35.18,39.55,24.35,29.65,44.85,47.4,31.76
149,1,2,149,0,0,3.6,39.55,24.35,29.65,44.85,47.4,31.76,33.93
150,1,2,150,0,0,3.6,24.35,29.65,44.85,47.4,31.76,33.93,38.07
151,1,2,151,0,0,3.6,29.65,44.85,47.4,31.76,33.93,38.07,37.78
152,1,2,152,0,0,3.6,44.85,47.4,31.76,33.93,38.07,37.78,34.09
153,1,2,153,0,0,3.6,47.4,31.76,33.93,38.07,37.78,34.09,39.27
154,1,2,154,0,0,3.6,31.76,33.93,38.07,37.78,34.09,39.27,44.18
155,1,2,155,0,0,3.6,33.93,38.07,37.78,34.09,39.27,44.18,36.88
156,1,2,156,0,0,3.6,38.07,37.78,34.09,39.27,44.18,36.88,33.64
157,1,2,157,0,0,3.6,37.78,34.09,39.27,44.18,36.88,33.64,40.55
158,1,2,158,0,0,3.6,34.09,39.27,44.18,36.88,33.64,40.55,34.12
159,1,2,159,0,0,3.6,39.27,44.18,36.88,33.64,40.55,34.12,37.73
160,1,2,160,0,0,3.6,44.18,36.88,33.64,40.55,34.12,37.73,38.9
161,1,2,161,0,0,3.6,36.88,33.64,40.55,34.12,37.73,38.9,21.32
162,1,2,162,0,0,3.6,33.64,40.55,34.12,37.73,38.9,21.32,21.68
163,1,2,163,0,0,3.6,40.55,34.12,37.73,38.9,21.32,21.68,39.53
164,1,2,164,0,0,3.6,34.12,37.73,38.9,21.32,21.68,39.53,41.79
165,1,2,165,0,0,3.6,37.73,38.9,21.32,21.68,39.53,41.79,48.96
166,1,2,166,0,0,3.6,38.9,21.32,21.68,39.53,41.79,48.96,38.11
167,1,2,167,0,0,3.6,21.32,21.68,39.53,41.79,48.96,38.11,27.51
168,1,2,168,0,0,3.6,21.68,39.53,41.79,48.96,38.11,27.51,40.37
169,1,2,169,0,0,3.6,39.53,41.79,48.96,38.11,27.51,40.37,37.44
170,1,2,170,0,0,3.6,41.79,48.96,38.11,27.51,40.37,37.44,33.28
171,1,2,171,0,0,3.6,48.96,38.11,27.51,40.37,37.44,33.28,32.06
172,1,2,172,0,0,3.6,38.11,27.51,40.37,37.44,33.28,32.06,36.7
173,1,2,173,0,0,3.6,27.51,40.37,37.44,33.28,32.06,36.7,46.4
174,1,2,174,0,0,3.6,40.37,37.44,33.28,32.06,36.7,46.4,28.13
175,1,2,175,0,0,3.6,37.44,33.28,32.06,36.7,46.4,28.13,37.81
176,1,2,176,0,0,3.6,33.28,32.06,36.7,46.4,28.13,37.81,36.75
177,1,2,177,0,0,3.6,32.06,36.7,46.4,28.13,37.81,36.75,33.2
178,1,2,178,0,0,3.6,36.7,46.4,28.13,37.81,36.75,33.2,41.44
179,1,2,179,0,0,3.6,46.4,28.13,37.81,36.75,33.2,41.44,26.61
180,1,2,180,0,0,3.6,28.13,37.81,36.75,33.2,41.44,26.61,40.4
181,1,2,181,0,0,3.6,37.81,36.75,33.2,41.44,26.61,40.4,44.84
182,1,2,182,0,0,3.6,36.75,33.2,41.44,26.61,40.4,44.84,40.94
183,1,2,183,0,0,3.6,33.2,41.44,26.61,40.4,44.84,40.94,47.07
184,1,2,184,0,0,3.6,41.44,26.61,40.4,44.84,40.94,47.07,35.19
185,1,2,185,0,0,3.6,26.61,40.4,44.84,40.94,47.07,35.19,37.05
186,1,2,186,0,0,3.6,40.4,44.84,40.94,47.07,35.19,37.05,39.03
187,1,2,187,0,0,3.6,44.84,40.94,47.07,35.19,37.05,39.03,42.12
188,1,2,188,0,0,3.6,40.94,47.07,35.19,37.05,39.03,42.12,39.43
189,1,2,189,0,0,3.6,47.07,35.19,37.05,39.03,42.12,39.43,20.23
190,1,2,190,0,0,3.6,35.19,37.05,39.03,42.12,39.43,20.23,24.9
191,1,2,191,0,0,3.6,37.05,39.03,42.12,39.43,20.23,24.9,28.99
192,1,2,192,0,0,3.6,39.03,42.12,39.43,20.23,24.9,28.99,30.24
193,1,2,193,0,0,3.6,42.12,39.43,20.23,24.9,28.99,30.24,30.67
194,1,2,194,0,0,3.6,39.43,20.23,24.9,28.99,30.24,30.67,36.42
195,1,2,195,0,0,3.6,20.23,24.9,28.99,30.24,30.67,36.42,35.6
196,1,2,196,0,0,3.6,24.9,28.99,30.24,30.67,36.42,35.6,31.18
197,1,2,197,0,0,3.6,28.99,30.24,30.67,36.42,35.6,31.18,43.13
198,1,2,198,0,0,3.6,30.24,30.67,36.42,35.6,31.18,43.13,31.76
199,1,2,199,0,0,3.6,30.67,36.42,35.6,31.18,43.13,31.76,27.6
200,1,2,200,0,0,3.6,36.42,35.6,31.18,43.13,31.76,27.6,41.77
201,1,2,201,0,0,3.6,35.6,31.18,43.13,31.76,27.6,41.77,34.29
202,1,2,202,0,0,3.6,31.18,43.13,31.76,27.6,41.77,34.29,28.36
203,1,2,203,0,0,3.6,43.13,31.76,27.6,41.77,34.29,28.36,34.43
204,1,2,204,0,0,3.6,31.76,27.6,41.77,34.29,28.36,34.43,32.1
205,1,2,205,0,0,3.6,27.6,41.77,34.29,28.36,34.43,32.1,36.28
206,1,2,206,0,0,3.6,41.77,34.29,28.36,34.43,32.1,36.28,20.33
207,1,2,207,0,0,3.6,34.29,28.36,34.43,32.1,36.28,20.33,33.96
208,1,2,208,0,0,3.6,28.36,34.43,32.1,36.28,20.33,33.96,30.41
209,1,2,209,0,0,3.6,34.43,32.1,36.28,20.33,33.96,30.41,27.72
210,1,2,210,0,0,3.6,32.1,36.28,20.33,33.96,30.41,27.72,26.71
211,1,2,211,0,0,3.6,36.28,20.33,33.96,30.41,27.72,26.71,31.23
212,1,2,212,0,0,3.6,20.33,33.96,30.41,27.72,26.71,31.23,33.04
213,1,2,213,0,0,3.6,33.96,30.41,27.72,26.71,31.23,33.04,20.82
214,1,2,214,0,0,3.6,30.41,27.72,26.71,31.23,33.04,20.82,11.25
215,1,2,215,0,0,3.6,27.72,26.71,31.23,33.04,20.82,11.25,24.47
216,1,2,216,0,0,3.6,26.71,31.23,33.04,20.82,11.25,24.47,31.81
217,1,2,217,0,0,3.6,31.23,33.04,20.82,11.25,24.47,31.81,38.02
218,1,2,218,0,0,3.6,33.04,20.82,11.25,24.47,31.81,38.02,18.8
219,1,2,219,0,0,3.6,20.82,11.25,24.47,31.81,38.02,18.8,28.71
220,1,2,220,0,0,3.6,11.25,24.47,31.81,38.02,18.8,28.71,26.13
221,1,2,221,0,0,3.6,24.47,31.81,38.02,18.8,28.71,26.13,28.79
222,1,2,222,0,0,3.6,31.81,38.02,18.8,28.71,26.13,28.79,34.4
223,1,2,223,0,0,3.6,38.02,18.8,28.71,26.13,28.79,34.4,35.58
224,1,2,224,0,0,3.6,18.8,28.71,26.13,28.79,34.4,35.58,33.85
225,1,2,225,0,0,3.6,28.71,26.13,28.79,34.4,35.58,33.85,33.43
226,1,2,226,0,0,3.6,26.13,28.79,34.4,35.58,33.85,33.43,37.12
227,1,2,227,0,0,3.6,28.79,34.4,35.58,33.85,33.43,37.12,38.53
228,1,2,228,0,0,3.6,34.4,35.58,33.85,33.43,37.12,38.53,30.43
229,1,2,229,0,0,3.6,35.58,33.85,33.43,37.12,38.53,30.43,33.48
230,1,2,230,0,0,3.6,33.85,33.43,37.12,38.53,30.43,33.48,15.72
231,1,2,231,0,0,3.6,33.43,37.12,38.53,30.43,33.48,15.72,41.25
232,1,2,232,0,0,3.6,37.12,38.53,30.43,33.48,15.72,41.25,24.75
233,1,2,233,0,0,3.6,38.53,30.43,33.48,15.72,41.25,24.75,33.42
234,1,2,234,0,0,3.6,30.43,33.48,15.72,41.25,24.75,33.42,31.49
235,1,2,235,0,0,3.6,33.48,15.72,41.25,24.75,33.42,31.49,34.46
236,1,2,236,0,0,3.6,15.72,41.25,24.75,33.42,31.49,34.46,40.98
237,1,2,237,0,0,3.6,41.25,24.75,33.42,31.49,34.46,40.98,35.68
238,1,2,238,0,0,3.6,24.75,33.42,31.49,34.46,40.98,35.68,41.03
239,1,2,239,0,0,3.6,33.42,31.49,34.46,40.98,35.68,41.03,56.32
240,1,2,240,0,0,3.6,31.49,34.46,40.98,35.68,41.03,56.32,38.87
241,1,2,241,0,0,3.6,34.46,40.98,35.68,41.03,56.32,38.87,29.96
242,1,2,242,0,0,3.6,40.98,35.68,41.03,56.32,38.87,29.96,42.2
243,1,2,243,0,0,3.6,35.68,41.03,56.32,38.87,29.96,42.2,25.47
244,1,2,244,0,0,3.6,41.03,56.32,38.87,29.96,42.2,25.47,41.29
245,1,2,245,0,0,3.6,56.32,38.87,29.96,42.2,25.47,41.29,38.44
246,1,2,246,0,0,3.6,38.87,29.96,42.2,25.47,41.29,38.44,33.4
247,1,2,247,0,0,3.6,29.96,42.2,25.47,41.29,38.44,33.4,33.68
248,1,2,248,0,0,3.6,42.2,25.47,41.29,38.44,33.4,33.68,37.97
249,1,2,249,0,0,3.6,25.47,41.29,38.44,33.4,33.68,37.97,38.47
250,1,2,250,0,0,3.6,41.29,38.44,33.4,33.68,37.97,38.47,28.76
251,1,2,251,0,0,3.6,38.44,33.4,33.68,37.97,38.47,28.76,33.53
252,1,2,252,0,0,3.6,33.4,33.68,37.97,38.47,28.76,33.53,35.1
253,1,2,253,0,0,3.6,33.68,37.97,38.47,28.76,33.53,35.1,36.37
254,1,2,254,0,0,3.6,37.97,38.47,28.76,33.53,35.1,36.37,40.84
255,1,2,255,0,0,3.6,38.47,28.76,33.53,35.1,36.37,40.84,39.36
256,1,2,256,0,0,3.6,28.76,33.53,35.1,36.37,40.84,39.36,31.86
257,1,2,257,0,0,3.6,33.53,35.1,36.37,40.84,39.36,31.86,32.24
258,1,2,258,0,0,3.6,35.1,36.37,40.84,39.36,31.86,32.24,37.81
259,1,2,259,0,0,3.6,36.37,40.84,39.36,31.86,32.24,37.81,35.16
260,1,2,260,0,0,3.6,40.84,39.36,31.86,32.24,37.81,35.16,43.87
261,1,2,261,0,0,3.6,39.36,31.86,32.24,37.81,35.16,43.87,39.36
262,1,2,262,0,0,3.6,31.86,32.24,37.81,35.16,43.87,39.36,39.49
263,1,2,263,0,0,3.6,32.24,37.81,35.16,43.87,39.36,39.49,31.47
264,1,2,264,0,0,3.6,37.81,35.16,43.87,39.36,39.49,31.47,35.03
265,1,2,265,0,0,3.6,35.16,43.87,39.36,39.49,31.47,35.03,32.58
266,1,2,266,0,0,3.6,43.87,39.36,39.49,31.47,35.03,32.58,33.05
267,1,2,267,0,0,3.6,39.36,39.49,31.47,35.03,32.58,33.05,23.71
268,1,2,268,0,0,3.6,39.49,31.47,35.03,32.58,33.05,23.71,37.5
269,1,2,269,0,0,3.6,31.47,35.03,32.58,33.05,23.71,37.5,21.02
270,1,2,270,0,0,3.6,35.03,32.58,33.05,23.71,37.5,21.02,35.01
271,1,2,271,0,0,3.6,32.58,33.05,23.71,37.5,21.02,35.01,40.78
272,1,2,272,0,0,3.6,33.05,23.71,37.5,21.02,35.01,40.78,42.24
273,1,2,273,0,0,3.6,23.71,37.5,21.02,35.01,40.78,42.24,25.86
274,1,2,274,0,0,3.6,37.5,21.02,35.01,40.78,42.24,25.86,40.6
275,1,2,275,0,0,3.6,21.02,35.01,40.78,42.24,25.86,40.6,35.88
276,1,2,276,0,0,3.6,35.01,40.78,42.24,25.86,40.6,35.88,37.46
277,1,2,277,0,0,3.6,40.78,42.24,25.86,40.6,35.88,37.46,38.04
278,1,2,278,0,0,3.6,42.24,25.86,40.6,35.88,37.46,38.04,42.23
279,1,2,279,0,0,3.6,25.86,40.6,35.88,37.46,38.04,42.23,48.94
280,1,2,280,0,0,3.6,40.6,35.88,37.46,38.04,42.23,48.94,37.02
281,1,2,281,0,0,3.6,35.88,37.46,38.04,42.23,48.94,37.02,43.49
282,1,2,282,0,0,3.6,37.46,38.04,42.23,48.94,37.02,43.49,44.39
283,1,2,283,0,0,3.6,38.04,42.23,48.94,37.02,43.49,44.39,36.54
284,1,2,284,0,0,3.6,42.23,48.94,37.02,43.49,44.39,36.54,53.65
285,1,2,285,0,0,3.6,48.94,37.02,43.49,44.39,36.54,53.65,31.71
286,1,2,286,0,0,3.6,37.02,43.49,44.39,36.54,53.65,31.71,35.1
287,1,2,287,0,0,3.6,43.49,44.39,36.54,53.65,31.71,35.1,45.63
288,1,2,288,0,0,3.6,44.39,36.54,53.65,31.71,35.1,45.63,45.7
289,2,3,1,0,0,3.6,36.54,53.65,31.71,35.1,45.63,45.7,42.05
290,2,3,2,0,0,3.6,53.65,31.71,35.1,45.63,45.7,42.05,38.4
291,2,3,3,0,0,3.6,31.71,35.1,45.63,45.7,42.05,38.4,26.03
292,2,3,4,0,0,3.6,35.1,45.63,45.7,42.05,38.4,26.03,46.38
293,2,3,5,0,0,3.6,45.63,45.7,42.05,38.4,26.03,46.38,40.25
294,2,3,6,0,0,3.6,45.7,42.05,38.4,26.03,46.38,40.25,33.34
295,2,3,7,0,0,3.6,42.05,38.4,26.03,46.38,40.25,33.34,39.21
296,2,3,8,0,0,3.6,38.4,26.03,46.38,40.25,33.34,39.21,48.6
297,2,3,9,0,0,3.6,26.03,46.38,40.25,33.34,39.21,48.6,46.6
298,2,3,10,0,0,3.6,46.38,40.25,33.34,39.21,48.6,46.6,43.36
299,2,3,11,0,0,3.6,40.25,33.34,39.21,48.6,46.6,43.36,43.15
300,2,3,12,0,0,3.6,33.34,39.21,48.6,46.6,43.36,43.15,42.67
301,2,3,13,0,0,3.6,39.21,48.6,46.6,43.36,43.15,42.67,46.94
302,2,3,14,0,0,3.6,48.6,46.6,43.36,43.15,42.67,46.94,51.2
303,2,3,15,0,0,3.6,46.6,43.36,43.15,42.67,46.94,51.2,40.7
304,2,3,16,0,0,3.6,43.36,43.15,42.67,46.94,51.2,40.7,35.7
305,2,3,17,0,0,3.6,43.15,42.67,46.94,51.2,40.7,35.7,42.4
306,2,3,18,0,0,3.6,42.67,46.94,51.2,40.7,35.7,42.4,43.23
307,2,3,19,0,0,3.6,46.94,51.2,40.7,35.7,42.4,43.23,48.59
308,2,3,20,0,0,3.6,51.2,40.7,35.7,42.4,43.23,48.59,33.2
309,2,3,21,0,0,3.6,40.7,35.7,42.4,43.23,48.59,33.2,40.8
310,2,3,22,0,0,3.6,35.7,42.4,43.23,48.59,33.2,40.8,54.59
311,2,3,23,0,0,3.6,42.4,43.23,48.59,33.2,40.8,54.59,51.3
312,2,3,24,0,0,3.6,43.23,48.59,33.2,40.8,54.59,51.3,48
313,2,3,25,0,0,3.6,48.59,33.2,40.8,54.59,51.3,48,35.2
314,2,3,26,0,0,3.6,33.2,40.8,54.59,51.3,48,35.2,61.22
315,2,3,27,0,0,3.6,40.8,54.59,51.3,48,35.2,61.22,52.41
316,2,3,28,0,0,3.6,54.59,51.3,48,35.2,61.22,52.41,43.6
317,2,3,29,0,0,3.6,51.3,48,35.2,61.22,52.41,43.6,34.8
318,2,3,30,0,0,3.6,48,35.2,61.22,52.41,43.6,34.8,37.4
319,2,3,31,0,0,3.6,35.2,61.22,52.41,43.6,34.8,37.4,40
320,2,3,32,0,0,3.6,61.22,52.41,43.6,34.8,37.4,40,62.99
321,2,3,33,0,0,3.6,52.41,43.6,34.8,37.4,40,62.99,30.24
322,2,3,34,0,0,3.6,43.6,34.8,37.4,40,62.99,30.24,32.7
323,2,3,35,0,0,3.6,34.8,37.4,40,62.99,30.24,32.7,41.84
324,2,3,36,0,0,3.6,37.4,40,62.99,30.24,32.7,41.84,38.8
325,2,3,37,0,0,3.6,40,62.99,30.24,32.7,41.84,38.8,28.04
